osmid,shape
112624378,POINT(-8.5470652 41.1446972)
112624414,POINT(-8.5389837 41.1371699)
112624423,POINT(-8.5355184 41.1339431)
276928791,POINT(-8.5449028 41.1207945)
276928792,POINT(-8.5437813 41.1194519)
276928801,POINT(-8.5415636 41.1178777)
276928809,POINT(-8.5397463 41.1162167)
276928838,POINT(-8.5336338 41.1089507)
276928839,POINT(-8.5319401 41.107026)
276928845,POINT(-8.5295324 41.1062668)
276930017,POINT(-8.5108063 41.1166912)
276930020,POINT(-8.5112616 41.1185964)
276930032,POINT(-8.5148039 41.1277407)
276930043,POINT(-8.5175047 41.1359247)
276930093,POINT(-8.5183922 41.1366427)
276930094,POINT(-8.5184664 41.1365564)
276930097,POINT(-8.5183397 41.1361849)
276930099,POINT(-8.5180847 41.1361197)
276930101,POINT(-8.5177383 41.1362621)
276930103,POINT(-8.5177821 41.1366442)
276930104,POINT(-8.5178901 41.1367071)
276930307,POINT(-8.5181963 41.1374123)
276936246,POINT(-8.5472335 41.1430261)
276936247,POINT(-8.5473249 41.1430148)
276936248,POINT(-8.547418 41.142901)
276936249,POINT(-8.5474105 41.1428662)
276936251,POINT(-8.5472741 41.1427806)
276936253,POINT(-8.5470971 41.1429404)
276936295,POINT(-8.5469894 41.1430814)
276936864,POINT(-8.5310204 41.1445611)
276936890,POINT(-8.5410721 41.1453292)
276936903,POINT(-8.5251487 41.1423231)
276936905,POINT(-8.5251155 41.1421884)
276937359,POINT(-8.5171227 41.1406805)
314536381,POINT(-8.5390087 41.1374426)
314536428,POINT(-8.5467964 41.1444008)
314536526,POINT(-8.5361285 41.1366216)
314536537,POINT(-8.5357007 41.1363073)
314536539,POINT(-8.5355763 41.1363776)
314536549,POINT(-8.5358185 41.1367757)
314536587,POINT(-8.5364034 41.1359337)
314536593,POINT(-8.5366921 41.1361981)
314536603,POINT(-8.5379252 41.1354135)
314536605,POINT(-8.5379441 41.1353001)
314536609,POINT(-8.537751 41.1351382)
314536611,POINT(-8.537629 41.1351325)
314536622,POINT(-8.5368822 41.1361025)
314536634,POINT(-8.5354647 41.1361615)
314536650,POINT(-8.5333906 41.1356383)
314536652,POINT(-8.5334535 41.135682)
314536670,POINT(-8.5344828 41.1351289)
314536677,POINT(-8.5298708 41.1364203)
314536680,POINT(-8.5323409 41.1362876)
314536693,POINT(-8.533334 41.1357243)
314536695,POINT(-8.5306557 41.1363635)
314539770,POINT(-8.5405493 41.1337286)
314539775,POINT(-8.5407372 41.1338905)
314539810,POINT(-8.540734 41.137335)
314542512,POINT(-8.5444052 41.135021)
314542514,POINT(-8.5412594 41.1339994)
314542518,POINT(-8.54204 41.1344927)
314542520,POINT(-8.5428665 41.1348625)
314542526,POINT(-8.5464628 41.1360084)
314542530,POINT(-8.5473892 41.1355182)
314542531,POINT(-8.5476762 41.1356013)
314542533,POINT(-8.5473021 41.1351701)
314542539,POINT(-8.5468767 41.1348563)
314542549,POINT(-8.546222 41.1358526)
314542550,POINT(-8.5462365 41.1341106)
314542559,POINT(-8.5477536 41.1351083)
314542569,POINT(-8.5412508 41.1335225)
314542602,POINT(-8.5403547 41.1335516)
413695896,POINT(-8.5176507 41.1483143)
413695910,POINT(-8.5176608 41.1473525)
