shape,start_node,end_node,osmid,oneway,length
"LINESTRING (-8.5470652 41.1446972, -8.5469516 41.1443685, -8.5467809 41.1439296, -8.5464731 41.1434056, -8.5460952 41.1429655, -8.545667099999999 41.1426, -8.545116 41.1422281, -8.5444917 41.1419327, -8.5437534 41.1416529, -8.542543500000001 41.1412474, -8.541992799999999 41.1410131, -8.541531600000001 41.1407294, -8.541114 41.1403668, -8.540744500000001 41.1398982, -8.540298399999999 41.1391677, -8.539594599999999 41.1380316, -8.538983699999999 41.1371699)",112624378,112624414,"[232721629, 232721628, 98835845]",True,1122.8519999999999
"LINESTRING (-8.538983699999999 41.1371699, -8.5387819 41.1368264, -8.537990799999999 41.1356794, -8.537940000000001 41.1355692, -8.5379252 41.1354135)",112624414,314536603,28617905,True,215.817
"LINESTRING (-8.538983699999999 41.1371699, -8.538618 41.1367536, -8.5381392 41.1362757, -8.5358243 41.1342162, -8.535518400000001 41.1339431)",112624414,112624423,232721629,True,461.85200000000003
"LINESTRING (-8.535518400000001 41.1339431, -8.535231700000001 41.1336941, -8.534679499999999 41.1332528, -8.533856399999999 41.1327048, -8.5332027 41.1323517, -8.5324694 41.1320332, -8.531721900000001 41.1317866, -8.530903800000001 41.1315786, -8.529950599999999 41.1314235, -8.529143400000001 41.1313352, -8.524700599999999 41.1309875, -8.524088000000001 41.1309632, -8.523724899999999 41.1309734, -8.523364900000001 41.1310039, -8.523058600000001 41.1310414, -8.5226966 41.131125, -8.522366099999999 41.1312074, -8.5220298 41.1313128, -8.5214946 41.1315374)",112624423,1523768131,"[381421952, 125445076, 139001717, 381421950]",True,1279.9299999999998
"LINESTRING (-8.5449028 41.1207945, -8.5437813 41.1194519)",276928791,276928792,141694582,False,176.389
"LINESTRING (-8.544902799999999 41.1207945, -8.5457521 41.1215465, -8.545860599999999 41.1216661, -8.545949800000001 41.1218085, -8.546068099999999 41.1220133, -8.5462782 41.1223173, -8.5466093 41.1227621, -8.546745700000001 41.1229182, -8.546863699999999 41.1230325, -8.546996200000001 41.1231189, -8.547186099999999 41.1232014)",276928791,1419378808,141694582,False,332.97599999999994
"LINESTRING (-8.544902799999999 41.1207945, -8.544789099999999 41.1209086, -8.5441243 41.1214232, -8.544046700000001 41.1214634, -8.543991 41.1214761, -8.543915 41.1214725, -8.543839 41.121445, -8.543774300000001 41.1213992, -8.543738899999999 41.1213387, -8.543747700000001 41.1212509, -8.543783400000001 41.1211281, -8.543735699999999 41.120782, -8.5436903 41.1207191)",276928791,1419378658,238866269,False,207.12500000000003
"LINESTRING (-8.5437813 41.1194519, -8.5449028 41.1207945)",276928792,276928791,141694582,False,176.389
"LINESTRING (-8.543781299999999 41.1194519, -8.5436847 41.1194328, -8.5434263 41.1191461, -8.5433606 41.1191017, -8.543247300000001 41.1190721, -8.5431705 41.1190701, -8.543090299999999 41.1190975, -8.5430077 41.1191653, -8.5430011 41.1192172, -8.543190900000001 41.1195012, -8.5435614 41.1200307, -8.5437806 41.1203784, -8.5437896 41.1205222, -8.5437522 41.1206385, -8.5436903 41.1207191)",276928792,1419378658,128432220,False,278.56399999999996
"LINESTRING (-8.543781299999999 41.1194519, -8.5433091 41.1188767, -8.5432057 41.1188055, -8.5430683 41.1187459, -8.542886299999999 41.1187078, -8.542713900000001 41.1186955, -8.5425848 41.118676, -8.5424217 41.1186329, -8.5422403 41.1185614, -8.542062 41.1184737, -8.5419152 41.1183668, -8.5417714 41.118232, -8.541667500000001 41.1180688, -8.5415636 41.1178777)",276928792,276928801,"[331311379, 331311380, 141694582]",False,270.468
