shape,start_node,end_node,osmid,oneway,length
"LINESTRING (-8.6406364 41.1660713, -8.6409114 41.1662762)",25503936,4722746638,479127843,True,32.388
"LINESTRING (-8.6406364 41.1660713, -8.6407202 41.1662137, -8.6407599 41.1663352, -8.6407578 41.1664674, -8.6406796 41.1666065, -8.6404816 41.1669122, -8.640433 41.1670937, -8.6404315 41.167301, -8.6404428 41.1676479, -8.6404492 41.1679022, -8.6404613 41.1680242)",25503936,281726624,4256507,True,224.65500000000003
"LINESTRING (-8.6420446 41.168347, -8.6423385 41.1682776, -8.6425007 41.1682117, -8.6427012 41.1681378, -8.6429355 41.1681355, -8.6430835 41.1681485, -8.6433345 41.1682353)",25503951,1243857957,4256513,True,115.10499999999999
"LINESTRING (-8.6420446 41.168347, -8.6422246 41.1683448, -8.6423839 41.1683181, -8.642724 41.1682099, -8.6429037 41.1682018, -8.6430445 41.1682272, -8.6432475 41.1683211, -8.6437937 41.168776, -8.6438594 41.1689201)",25503951,4507024043,158906049,True,191.89200000000002
"LINESTRING (-8.6415867 41.1668853, -8.6417347 41.1669968, -8.6423525 41.1675121, -8.6425536 41.1676685)",25504027,1243857999,"[4256491, 108390772, 479127839]",True,118.915
"LINESTRING (-8.6224058 41.1742319, -8.6224311 41.1745623, -8.6224443 41.1749254)",25504163,25504183,"[479198379, 479198374]",True,77.19
"LINESTRING (-8.6224443 41.1749254, -8.622428 41.1757767, -8.6224086 41.1761959, -8.6223626 41.1770772, -8.6223441 41.1773783)",25504183,2486710630,"[479198378, 427967026]",True,272.90000000000003
"LINESTRING (-8.5835683 41.166241, -8.5833393 41.1661137, -8.5830903 41.1659372, -8.5827766 41.1656524, -8.5825702 41.1653826, -8.5815846 41.1635853, -8.5814169 41.1632622, -8.5813554 41.1631437, -8.5812732 41.1629297, -8.5812285 41.1627076, -8.581208 41.1625507, -8.5812436 41.1622154, -8.5813189 41.161894, -8.5813789 41.1617012)",25507552,413275483,"[35006698, 34711004]",True,560.14
"LINESTRING (-8.5835683 41.166241, -8.5833186 41.1659875, -8.5831143 41.1657569, -8.5827442 41.165301, -8.5823861 41.1646697, -8.5822294 41.1644037, -8.5821837 41.1642204, -8.582209 41.1639651)",25507552,409114759,"[34884993, 480148036, 497147261]",True,283.215
"LINESTRING (-8.5810576 41.1626066, -8.5810984 41.1628018, -8.5811456 41.1630178, -8.5812089 41.1631812, -8.5812642 41.1632991, -8.5814151 41.1636211, -8.582343 41.1653233)",25507559,1731168926,480148045,True,321.704
"LINESTRING (-8.5810576 41.1626066, -8.5810103 41.162892, -8.5810297 41.1630648, -8.5810394 41.1631419, -8.581035 41.163203, -8.5809648 41.1633181, -8.5808331 41.1634598, -8.5807821 41.1635456, -8.5807471 41.16363, -8.5807127 41.1637203, -8.580687 41.16376, -8.5806276 41.1638116, -8.5805804 41.1638447, -8.5804783 41.1638938, -8.5803064 41.1639561)",25507559,413301102,"[35260650, 484778540]",True,174.73900000000003
"LINESTRING (-8.5825433 41.1541532, -8.5822803 41.153765, -8.5820684 41.1535031, -8.581844 41.1532555, -8.5806171 41.152175)",25507576,787318148,"[508107803, 29036532]",True,273.962
"LINESTRING (-8.5825433 41.1541532, -8.5825527 41.1539803, -8.5822872 41.1535984, -8.5821284 41.1533542, -8.5821019 41.1532266, -8.5821206 41.1531047, -8.5821833 41.1529878)",25507576,4753795450,"[508107800, 508107795]",True,139.43200000000002
"LINESTRING (-8.5801756 41.1520755, -8.5805065 41.1523496, -8.5806624 41.1524734)",25507581,787318149,"[508107818, 484986691]",True,60.159
"LINESTRING (-8.5797087 41.1513862, -8.5796589 41.1512584, -8.5795571 41.1511023, -8.5794506 41.1509408, -8.5793927 41.1508226, -8.579356 41.1507253, -8.5793388 41.1506324, -8.5793314 41.1505115, -8.5793366 41.1504128, -8.5793697 41.1502845, -8.5794628 41.1500874, -8.5795878 41.1499378, -8.5796629 41.1498592, -8.5797499 41.1497896, -8.5798412 41.1497334, -8.5799349 41.1496899, -8.5800975 41.1496165, -8.5802796 41.1495364, -8.5804331 41.1494638, -8.5806298 41.1493624, -8.5808614 41.1491995)",25507582,114310699,12543151,True,307.46200000000005
"LINESTRING (-8.5797087 41.1513862, -8.579591 41.1513017, -8.5794589 41.1511703, -8.5793515 41.1510393, -8.5792523 41.1508912, -8.5791675 41.1507136, -8.5791058 41.1505348, -8.5790521 41.1503305, -8.5790221 41.1500828, -8.5790147 41.1498879, -8.5790455 41.1495305, -8.5790716 41.1493722)",25507582,314545211,"[497150664, 35446606]",True,239.09
"LINESTRING (-8.5793775 41.1483683, -8.5792124 41.1485993, -8.5789795 41.1489896, -8.5788626 41.1493052, -8.5788068 41.1495113, -8.5787907 41.1496759, -8.5787812 41.1498356)",25507591,4685582565,"[497150661, 497150663]",True,172.699
