osmid,shape
25503936,POINT(-8.6406364 41.1660713)
25503951,POINT(-8.6420446 41.168347)
25504027,POINT(-8.6415867 41.1668853)
25504163,POINT(-8.6224058 41.1742319)
25504183,POINT(-8.6224443 41.1749254)
25507474,POINT(-8.5685028 41.1019508)
25507552,POINT(-8.5835683 41.166241)
25507559,POINT(-8.5810576 41.1626066)
25507576,POINT(-8.5825433 41.1541532)
25507581,POINT(-8.5801756 41.1520755)
25507582,POINT(-8.5797087 41.1513862)
25507591,POINT(-8.5793775 41.1483683)
25507594,POINT(-8.580636 41.1472516)
25507600,POINT(-8.5811733 41.1454215)
25620516,POINT(-8.6140445 41.1499575)
25620518,POINT(-8.6148066 41.1499243)
25620570,POINT(-8.6120177 41.152994)
25620653,POINT(-8.6119957 41.153597)
25620737,POINT(-8.6121592 41.1479515)
25620743,POINT(-8.6112856 41.147888)
25620747,POINT(-8.6109422 41.1478426)
25620759,POINT(-8.6121386 41.1488008)
25620947,POINT(-8.6121861 41.1471763)
25620948,POINT(-8.6133682 41.1475478)
25632226,POINT(-8.6210997 41.1507093)
25632227,POINT(-8.6212767 41.1516791)
25632228,POINT(-8.6230542 41.1502192)
25632229,POINT(-8.6229257 41.1493674)
25632230,POINT(-8.6208752 41.1496431)
25632231,POINT(-8.6231422 41.1506749)
25632278,POINT(-8.6180312 41.1524873)
25632279,POINT(-8.6179199 41.1522366)
25632284,POINT(-8.6188807 41.1551988)
25632285,POINT(-8.6133083 41.1541642)
25632292,POINT(-8.6135935 41.1528719)
25632293,POINT(-8.6132505 41.1537434)
25632361,POINT(-8.6207549 41.1526088)
25632362,POINT(-8.6226637 41.1477709)
25632363,POINT(-8.6203514 41.1474495)
25632367,POINT(-8.6149639 41.1491595)
25632368,POINT(-8.6156082 41.1485969)
25632371,POINT(-8.6202036 41.1476258)
25632372,POINT(-8.6240719 41.1529176)
25632375,POINT(-8.6100477 41.1551976)
25632376,POINT(-8.6101425 41.1518487)
25632398,POINT(-8.6067378 41.1509254)
25632399,POINT(-8.6073894 41.1511073)
25632400,POINT(-8.6077498 41.1502271)
25632401,POINT(-8.6089109 41.1504849)
25632402,POINT(-8.6094208 41.1501627)
25632411,POINT(-8.6042501 41.1509449)
25632412,POINT(-8.6041093 41.1493955)
25632419,POINT(-8.6099839 41.1508997)
25632422,POINT(-8.6104496 41.1491992)
25632423,POINT(-8.6022297 41.1510098)
25632424,POINT(-8.6036864 41.1509525)
25632425,POINT(-8.6035241 41.1532611)
25632426,POINT(-8.6024055 41.1532765)
25632427,POINT(-8.6007815 41.1532733)
25632428,POINT(-8.6011373 41.1510477)
25632429,POINT(-8.600131 41.1510849)
25632432,POINT(-8.6020829 41.1489819)
25632433,POINT(-8.6031713 41.1491982)
25632438,POINT(-8.6019062 41.1489481)
25632446,POINT(-8.6047458 41.1536304)
25632447,POINT(-8.604695 41.1548147)
25632449,POINT(-8.6030152 41.1545708)
25632450,POINT(-8.605549 41.1551062)
25632454,POINT(-8.6062294 41.1535512)
25632463,POINT(-8.6026294 41.155553)
25632466,POINT(-8.5997196 41.1532952)
25632521,POINT(-8.5994778 41.1545295)
26015872,POINT(-8.586275 41.1667121)
26015879,POINT(-8.5938865 41.1713532)
26015889,POINT(-8.5970968 41.1717841)
26015892,POINT(-8.5980825 41.1714553)
26015928,POINT(-8.6187612 41.1737099)
26015929,POINT(-8.6248431 41.1732342)
26016417,POINT(-8.6400656 41.1687869)
26016418,POINT(-8.6402255 41.1684717)
26016419,POINT(-8.6424338 41.1670798)
26016423,POINT(-8.6438364 41.1661784)
26016441,POINT(-8.6473116 41.1583005)
26016457,POINT(-8.6426829 41.1517091)
26016466,POINT(-8.6408358 41.1497612)
26016523,POINT(-8.6257084 41.1149393)
26016528,POINT(-8.6105028 41.1116787)
26016750,POINT(-8.6418896 41.1674738)
26016970,POINT(-8.6053754 41.1085051)
26016973,POINT(-8.6048728 41.1081479)
26016976,POINT(-8.6037376 41.1059673)
26016984,POINT(-8.6009617 41.1027657)
26057813,POINT(-8.5945082 41.1815228)
26057853,POINT(-8.5920399 41.180349)
26121336,POINT(-8.5641783 41.2425202)
26122670,POINT(-8.6209585 41.1807558)
26122673,POINT(-8.6211293 41.1816016)
26122679,POINT(-8.6223813 41.1817809)
26122693,POINT(-8.6239494 41.1798161)
26122700,POINT(-8.6227193 41.1802837)
26122707,POINT(-8.6224076 41.1799712)
26122708,POINT(-8.6257879 41.1798037)
26122713,POINT(-8.5947195 41.1731101)
26122714,POINT(-8.5947981 41.1734158)
26122720,POINT(-8.5930012 41.179984)
26122724,POINT(-8.5931847 41.1828871)
26122742,POINT(-8.5872383 41.1990594)
26122777,POINT(-8.5651386 41.2353171)
26122781,POINT(-8.5937868 41.1840589)
26122784,POINT(-8.593171 41.1807675)
26122798,POINT(-8.5923345 41.192382)
26122800,POINT(-8.5912507 41.1943031)
26122807,POINT(-8.587137 41.1994838)
26122848,POINT(-8.6245912 41.1800724)
36730965,POINT(-8.601518 41.1273055)
60795247,POINT(-8.6381035 41.170477)
62890972,POINT(-8.6682248 41.1971414)
62890974,POINT(-8.668602 41.1967627)
62890975,POINT(-8.6689483 41.1966176)
62890977,POINT(-8.669938 41.1966317)
62890979,POINT(-8.6714767 41.1973876)
62890984,POINT(-8.6733125 41.1981564)
62890985,POINT(-8.673889 41.1986975)
62890991,POINT(-8.6756905 41.2000948)
62892598,POINT(-8.666218 41.1958407)
62897093,POINT(-8.666855 41.1997743)
62913389,POINT(-8.6716464 41.1996019)
62913390,POINT(-8.6717048 41.1992045)
62913393,POINT(-8.6717914 41.1986111)
62915435,POINT(-8.6751636 41.1899203)
62915442,POINT(-8.6772559 41.1916867)
62915443,POINT(-8.6771504 41.1919098)
62915449,POINT(-8.6731264 41.1966327)
62917391,POINT(-8.6715247 41.1960361)
62917393,POINT(-8.6699415 41.1964405)
62921657,POINT(-8.6684003 41.1927306)
62924606,POINT(-8.6688347 41.2004869)
62924617,POINT(-8.6689912 41.1976852)
62929803,POINT(-8.6701405 41.1926669)
62941777,POINT(-8.6608607 41.1940035)
62944785,POINT(-8.6678404 41.1924219)
62944787,POINT(-8.6672732 41.1927625)
62944790,POINT(-8.667114 41.193186)
62944795,POINT(-8.6643976 41.1977625)
62946572,POINT(-8.6638048 41.2025249)
62946573,POINT(-8.6637551 41.1989744)
62950557,POINT(-8.670045 41.1975084)
62952208,POINT(-8.6691942 41.1994637)
62952212,POINT(-8.6685458 41.199473)
62953033,POINT(-8.6690824 41.1987444)
62954778,POINT(-8.6681844 41.1964561)
62966114,POINT(-8.673592 41.2004384)
62966116,POINT(-8.6723307 41.1998933)
